elapsed_sec,gate_accuracy,gate_loss,negative_weight,num_gate_train_samples,positive_ratio,positive_weight,step,total_gate_train_samples
0.18203923292458057,0.08333333333333333,0.8437484502792358,3.0,24,0.9166666666666666,1.0,1,24
0.22234423831105232,0.1111111111111111,0.8822205066680908,3.0,18,0.8888888888888888,1.0,2,42
0.26202354906126857,0.21739130434782608,1.001800537109375,3.0,23,0.782608695652174,1.0,3,65
0.3015987151302397,0.17647058823529413,0.9605891108512878,3.0,17,0.8235294117647058,1.0,4,82
0.34148477809503675,0.16666666666666666,0.9486420750617981,3.0,18,0.8333333333333334,1.0,5,100
0.3811885663308203,0.17391304347826086,0.9578379988670349,3.0,23,0.8260869565217391,1.0,6,123
0.420817909296602,0.5,1.3581150770187378,3.0,18,0.5,1.0,7,141
0.46037321630865335,0.1111111111111111,0.8625818490982056,3.0,18,0.8888888888888888,1.0,8,159
0.49987236922606826,0.14285714285714285,0.9105850458145142,3.0,21,0.8571428571428571,1.0,9,180
0.5390685382299125,0.35,1.1720688343048096,3.0,20,0.65,1.0,10,200
0.57803102908656,0.17647058823529413,0.9468101263046265,3.0,17,0.8235294117647058,1.0,11,217
0.6169312740676105,0.29411764705882354,1.105835199356079,3.0,17,0.7058823529411765,1.0,12,234
0.6568801519460976,0.35714285714285715,1.185380458831787,3.0,14,0.6428571428571429,1.0,13,248
0.6962988339364529,0.1875,0.9606144428253174,3.0,16,0.8125,1.0,14,264
0.7356134583242238,0.3888888888888889,1.2245891094207764,3.0,18,0.6111111111111112,1.0,15,282
0.775414630305022,0.1875,0.9607835412025452,3.0,16,0.8125,1.0,16,298
0.8150744331069291,0.45,1.298224925994873,3.0,20,0.55,1.0,17,318
0.8546633631922305,0.47619047619047616,1.3226438760757446,3.0,21,0.5238095238095238,1.0,18,339
0.8942410591989756,0.21052631578947367,0.9907895922660828,3.0,19,0.7894736842105263,1.0,19,358
0.9340299153700471,0.041666666666666664,0.7657370567321777,3.0,24,0.9583333333333334,1.0,20,382
0.9739432521164417,0.3888888888888889,1.2225053310394287,3.0,18,0.6111111111111112,1.0,21,400
1.0168340420350432,0.058823529411764705,0.7943931221961975,3.0,17,0.9411764705882353,1.0,22,417
1.0565029843710363,0.23076923076923078,1.0165249109268188,3.0,13,0.7692307692307693,1.0,23,430
1.0961252502165735,0.2,0.97315913438797,3.0,15,0.8,1.0,24,445
1.1360367890447378,0.16666666666666666,0.9299217462539673,3.0,12,0.8333333333333334,1.0,25,457
1.1757863410748541,0.16666666666666666,0.9278152585029602,3.0,18,0.8333333333333334,1.0,26,475
1.215644711162895,0.32,1.1221942901611328,3.0,25,0.68,1.0,27,500
1.25540830520913,0.17647058823529413,0.9404606223106384,3.0,17,0.8235294117647058,1.0,28,517
1.2951142261736095,0.2222222222222222,1.0041348934173584,3.0,18,0.7777777777777778,1.0,29,535
1.3349079280160367,0.32,1.126603364944458,3.0,25,0.68,1.0,30,560
1.3745252932421863,0.2916666666666667,1.0879383087158203,3.0,24,0.7083333333333334,1.0,31,584
1.4140369491651654,0.23809523809523808,1.0220249891281128,3.0,21,0.7619047619047619,1.0,32,605
1.4534038449637592,0.05555555555555555,0.7873607277870178,3.0,18,0.9444444444444444,1.0,33,623
1.4929161723703146,0.0,0.7085965275764465,3.0,15,1.0,1.0,34,638
1.532281911931932,0.2,0.9727219939231873,3.0,15,0.8,1.0,35,653
1.5716944271698594,0.3,1.1028698682785034,3.0,20,0.7,1.0,36,673
1.6113088899292052,0.4117647058823529,1.2452712059020996,3.0,17,0.5882352941176471,1.0,37,690
1.6508283442817628,0.4,1.1439757347106934,3.0,15,0.6666666666666666,1.0,38,705
1.69031687034294,0.10526315789473684,0.8531862497329712,3.0,19,0.8947368421052632,1.0,39,724
1.7298135091550648,0.23076923076923078,0.9015193581581116,3.0,13,0.8461538461538461,1.0,40,737
1.7693183282390237,0.07142857142857142,0.8016069531440735,3.0,14,0.9285714285714286,1.0,41,751
1.808833331335336,0.0,0.7082791328430176,3.0,18,1.0,1.0,42,769
1.8484322582371533,0.3181818181818182,1.1209125518798828,3.0,22,0.6818181818181818,1.0,43,791
1.889283292926848,0.19047619047619047,0.8962796926498413,3.0,21,0.8571428571428571,1.0,44,812
1.9286129102110863,0.05555555555555555,0.7805365920066833,3.0,18,0.9444444444444444,1.0,45,830
1.9680345440283418,0.6,1.3232033252716064,3.0,15,0.5333333333333333,1.0,46,845
2.007523822132498,0.10526315789473684,0.778917133808136,3.0,19,0.9473684210526315,1.0,47,864
2.0471370220184326,0.2222222222222222,0.8504123091697693,3.0,18,0.8888888888888888,1.0,48,882
2.086777713149786,0.2777777777777778,0.7780508399009705,3.0,18,0.9444444444444444,1.0,49,900
2.1263981983065605,0.5,1.1485185623168945,3.0,12,0.6666666666666666,1.0,50,912
2.1660593352280557,0.5,1.2442474365234375,3.0,12,0.5833333333333334,1.0,51,924
2.2058723932132125,0.5384615384615384,1.002052903175354,3.0,26,0.7692307692307693,1.0,52,950
2.2455829880200326,0.5263157894736842,0.9056016802787781,3.0,19,0.8421052631578947,1.0,53,969
2.2852936810813844,0.5294117647058824,1.0989577770233154,3.0,17,0.7058823529411765,1.0,54,986
